mu,M1,br_chi2_Zchi1,br_chi2_hchi1,br_chi3_Zchi1,br_chi3_hchi1
1600.0,1225.0,0.986108942,0.0138910583,0.0157068453,0.984293155
1600.0,1325.0,0.993421616,0.00657838369,0.00904074483,0.990959255
1600.0,1425.0,0.998155415,0.00184458522,0.00503356034,0.99496644
1700.0,25.0,0.423067819,0.576932181,0.557053671,0.442946329
1700.0,125.0,0.366994204,0.633005796,0.61391132,0.38608868
1700.0,225.0,0.313883062,0.686116938,0.668491989,0.331508011
1700.0,325.0,0.264562749,0.735437251,0.719700623,0.280299377
1700.0,425.0,0.219593599,0.780406401,0.766834931,0.233165069
1700.0,525.0,0.179310541,0.820689459,0.809418066,0.190581934
1700.0,625.0,0.143841951,0.856158049,0.847192812,0.152807188
1700.0,725.0,0.113141476,0.886858524,0.880099031,0.119900969
1700.0,825.0,0.087025623,0.912974377,0.90823988,0.0917601203
1700.0,925.0,0.0652123159,0.934787684,0.931843786,0.0681562139
1700.0,1025.0,0.047356209,0.952643791,0.951226763,0.0487732372
1700.0,1125.0,0.966758688,0.033241312,0.0330787663,0.966921234
1700.0,1225.0,0.978835694,0.0211643059,0.0219926679,0.978007332
1700.0,1325.0,0.987859937,0.0121400627,0.013721961,0.986278039
1700.0,1425.0,0.994230474,0.005769526,0.00792675042,0.99207325
1700.0,1525.0,0.998376065,0.0016239351,0.00442926298,0.995570737
1800.0,25.0,0.42343708,0.57656292,0.555858296,0.444141704
1800.0,125.0,0.370491332,0.629508668,0.60976499,0.39023501
1800.0,225.0,0.32001343,0.67998657,0.661605746,0.338394254
1800.0,325.0,0.272844303,0.727155697,0.710528233,0.289471767
1800.0,425.0,0.229485365,0.770514635,0.755911835,0.244088165
1800.0,525.0,0.19025703,0.80974297,0.797314747,0.202685253
1800.0,625.0,0.155310471,0.844689529,0.834472849,0.165527151
1800.0,725.0,0.124649583,0.875350417,0.867285473,0.132714527
1800.0,825.0,0.0981584704,0.90184153,0.895792045,0.104207955
1800.0,925.0,0.0756305975,0.924369403,0.920144058,0.0798559422
1800.0,1025.0,0.0567967438,0.943203256,0.940576181,0.0594238194
1800.0,1125.0,0.0413496159,0.958650384,0.957379117,0.042620883
1800.0,1225.0,0.970876119,0.0291238814,0.0289643821,0.971035618
1800.0,1325.0,0.981404215,0.0185957851,0.0193152163,0.980684784
1800.0,1425.0,0.989300829,0.0106991713,0.0120893029,0.987910697
1800.0,1525.0,0.994899101,0.00510089894,0.00700605717,0.992993943
1800.0,1625.0,0.99855935,0.00144065037,0.003927358,0.996072642
1900.0,25.0,0.423892149,0.576107851,0.554908353,0.445091647
1900.0,125.0,0.373648183,0.626351817,0.606055327,0.393944673
1900.0,225.0,0.325563468,0.674436532,0.655407778,0.344592222
1900.0,325.0,0.28038757,0.71961243,0.702215401,0.297784599
1900.0,425.0,0.238569206,0.761430794,0.745928648,0.254071352
1900.0,525.0,0.200410459,0.799589541,0.786141229,0.213858771
1900.0,625.0,0.166073965,0.833926035,0.822591541,0.177408459
1900.0,725.0,0.135598039,0.864401961,0.855153859,0.144846141
1900.0,825.0,0.108916947,0.891083053,0.883822282,0.116177718
1900.0,925.0,0.0858829483,0.914117052,0.908690105,0.0913098954
1900.0,1025.0,0.066288352,0.933711648,0.929927672,0.0700723283
1900.0,1125.0,0.0498855665,0.950114434,0.947760784,0.052239216
